Name,Technology,Location,Age,Owner,Capacity,Efficiency
CoalPSC Energy Producer H 23,CoalPSC,cweNode,23,Energy Producer H,375.67042,
CoalPSC Energy Producer E 24,CoalPSC,cweNode,24,Energy Producer E,689.36482,
CoalPSC Energy Producer F 25,CoalPSC,cweNode,25,Energy Producer F,306.48917,
CoalPSC Energy Producer G 26,CoalPSC,cweNode,26,Energy Producer G,747.90297,
CoalPSC Energy Producer H 27,CoalPSC,cweNode,27,Energy Producer H,829.37881,
CoalPSC Energy Producer E 28,CoalPSC,cweNode,28,Energy Producer E,2222.80147,
CoalPSC Energy Producer F 29,CoalPSC,cweNode,29,Energy Producer F,2188.20484,
CoalPSC Energy Producer G 30,CoalPSC,cweNode,30,Energy Producer G,1004.24628,
CoalPSC Energy Producer H 31,CoalPSC,cweNode,31,Energy Producer H,888.38171,
CoalPSC Energy Producer E 32,CoalPSC,cweNode,32,Energy Producer E,865.41901,
CoalPSC Energy Producer F 33,CoalPSC,cweNode,33,Energy Producer F,1260.36971,
CoalPSC Energy Producer G 34,CoalPSC,cweNode,34,Energy Producer G,1771.44186,
CoalPSC Energy Producer H 35,CoalPSC,cweNode,35,Energy Producer H,691.9708,
CoalPSC Energy Producer E 36,CoalPSC,cweNode,36,Energy Producer E,831.51969,
CoalPSC Energy Producer F 37,CoalPSC,cweNode,37,Energy Producer F,1296.14072,
CoalPSC Energy Producer G 38,CoalPSC,cweNode,38,Energy Producer G,1215.10532,
CoalPSC Energy Producer H 39,CoalPSC,cweNode,39,Energy Producer H,948.33877,
CoalPSC Energy Producer E 40,CoalPSC,cweNode,40,Energy Producer E,1842.50679,
CoalPSC Energy Producer F 41,CoalPSC,cweNode,41,Energy Producer F,2667.04112,
CoalPSC Energy Producer G 42,CoalPSC,cweNode,42,Energy Producer G,2388.62832,
CoalPSC Energy Producer H 43,CoalPSC,cweNode,43,Energy Producer H,4548.30403,
CoalPSC Energy Producer F 45,CoalPSC,cweNode,45,Energy Producer F,1808.90098,
CoalPSC Energy Producer G 46,CoalPSC,cweNode,46,Energy Producer G,2296.71691,
CoalPSC Energy Producer H 47,CoalPSC,cweNode,47,Energy Producer H,1089.55146,
CoalPSC Energy Producer E 48,CoalPSC,cweNode,48,Energy Producer E,1066.57678,
CoalPSC Energy Producer F 49,CoalPSC,cweNode,49,Energy Producer F,509.51828,
CoalPSC Energy Producer G 50,CoalPSC,cweNode,50,Energy Producer G,904.4933,
HydroPower Energy Producer E 31,HydroPower,cweNode,31,Energy Producer E,2674.2,
HydroPower Energy Producer F 32,HydroPower,cweNode,32,Energy Producer F,2674.2,
HydroPower Energy Producer G 33,HydroPower,cweNode,33,Energy Producer G,2674.2,
HydroPower Energy Producer H 34,HydroPower,cweNode,34,Energy Producer H,2674.2,
HydroPower Energy Producer E 35,HydroPower,cweNode,35,Energy Producer E,2674.2,
HydroPower Energy Producer F 36,HydroPower,cweNode,36,Energy Producer F,2674.2,
HydroPower Energy Producer G 37,HydroPower,cweNode,37,Energy Producer G,2674.2,
HydroPower Energy Producer H 38,HydroPower,cweNode,38,Energy Producer H,2674.2,
HydroPower Energy Producer E 39,HydroPower,cweNode,39,Energy Producer E,2674.2,
HydroPower Energy Producer F 40,HydroPower,cweNode,40,Energy Producer F,2674.2,
Lignite Energy Producer G 10,Lignite,cweNode,10,Energy Producer G,328.52697,
Lignite Energy Producer E 12,Lignite,cweNode,12,Energy Producer E,106.82259,
Lignite Energy Producer F 13,Lignite,cweNode,13,Energy Producer F,621.59027,
Lignite Energy Producer G 14,Lignite,cweNode,14,Energy Producer G,329.48813,
Lignite Energy Producer E 16,Lignite,cweNode,16,Energy Producer E,669.09305,
Lignite Energy Producer F 17,Lignite,cweNode,17,Energy Producer F,189.87549,
Lignite Energy Producer G 18,Lignite,cweNode,18,Energy Producer G,201.81594,
Lignite Energy Producer H 19,Lignite,cweNode,19,Energy Producer H,120.18021,
Lignite Energy Producer G 22,Lignite,cweNode,22,Energy Producer G,261.23442,
Lignite Energy Producer H 23,Lignite,cweNode,23,Energy Producer H,62.68406,
Lignite Energy Producer E 24,Lignite,cweNode,24,Energy Producer E,320.18469,
Lignite Energy Producer F 25,Lignite,cweNode,25,Energy Producer F,472.46466,
Lignite Energy Producer G 26,Lignite,cweNode,26,Energy Producer G,928.75028,
Lignite Energy Producer H 27,Lignite,cweNode,27,Energy Producer H,414.46335,
Lignite Energy Producer E 28,Lignite,cweNode,28,Energy Producer E,1280.04882,
Lignite Energy Producer F 29,Lignite,cweNode,29,Energy Producer F,765.76189,
Lignite Energy Producer G 30,Lignite,cweNode,30,Energy Producer G,812.77171,
Lignite Energy Producer H 31,Lignite,cweNode,31,Energy Producer H,660.98469,
Lignite Energy Producer E 32,Lignite,cweNode,32,Energy Producer E,895.09773,
Lignite Energy Producer F 33,Lignite,cweNode,33,Energy Producer F,883.66244,
Lignite Energy Producer G 34,Lignite,cweNode,34,Energy Producer G,533.07858,
Lignite Energy Producer H 35,Lignite,cweNode,35,Energy Producer H,498.23094,
Lignite Energy Producer E 36,Lignite,cweNode,36,Energy Producer E,580.32233,
Lignite Energy Producer F 37,Lignite,cweNode,37,Energy Producer F,592.26278,
Lignite Energy Producer G 38,Lignite,cweNode,38,Energy Producer G,990.10328,
Lignite Energy Producer H 39,Lignite,cweNode,39,Energy Producer H,1118.98311,
Lignite Energy Producer E 40,Lignite,cweNode,40,Energy Producer E,417.58077,
Lignite Energy Producer F 41,Lignite,cweNode,41,Energy Producer F,499.67251,
Lignite Energy Producer G 42,Lignite,cweNode,42,Energy Producer G,932.58238,
Lignite Energy Producer H 43,Lignite,cweNode,43,Energy Producer H,1494.1256,
Lignite Energy Producer E 44,Lignite,cweNode,44,Energy Producer E,301.60256,
Lignite Energy Producer F 45,Lignite,cweNode,45,Energy Producer F,594.1729,
Lignite Energy Producer G 46,Lignite,cweNode,46,Energy Producer G,442.39808,
Lignite Energy Producer H 47,Lignite,cweNode,47,Energy Producer H,197.05963,
Lignite Energy Producer E 48,Lignite,cweNode,48,Energy Producer E,372.7028,
Lignite Energy Producer F 49,Lignite,cweNode,49,Energy Producer F,267.70388,
Lignite Energy Producer G 50,Lignite,cweNode,50,Energy Producer G,115.91651,
Nuclear Energy Producer G 10,Nuclear,cweNode,10,Energy Producer G,708.02798,
Nuclear Energy Producer H 11,Nuclear,cweNode,11,Energy Producer H,708.62286,
Nuclear Energy Producer G 14,Nuclear,cweNode,14,Energy Producer G,400.00847,
Nuclear Energy Producer H 15,Nuclear,cweNode,15,Energy Producer H,2234.56653,
Nuclear Energy Producer E 16,Nuclear,cweNode,16,Energy Producer E,2009.43858,
Nuclear Energy Producer F 17,Nuclear,cweNode,17,Energy Producer F,486.3791,
Nuclear Energy Producer G 18,Nuclear,cweNode,18,Energy Producer G,881.95764,
Nuclear Energy Producer E 20,Nuclear,cweNode,20,Energy Producer E,1560.28359,
Nuclear Energy Producer F 21,Nuclear,cweNode,21,Energy Producer F,911.92683,
Nuclear Energy Producer G 22,Nuclear,cweNode,22,Energy Producer G,1815.41034,
Nuclear Energy Producer H 23,Nuclear,cweNode,23,Energy Producer H,1872.40598,
Nuclear Energy Producer E 24,Nuclear,cweNode,24,Energy Producer E,1308.69512,
Nuclear Energy Producer F 25,Nuclear,cweNode,25,Energy Producer F,5851.91908,
Nuclear Energy Producer G 26,Nuclear,cweNode,26,Energy Producer G,5203.53272,
Nuclear Energy Producer H 27,Nuclear,cweNode,27,Energy Producer H,6417.38361,
Nuclear Energy Producer E 28,Nuclear,cweNode,28,Energy Producer E,10904.1772,
Nuclear Energy Producer F 29,Nuclear,cweNode,29,Energy Producer F,8111.43,
Nuclear Energy Producer G 30,Nuclear,cweNode,30,Energy Producer G,5544.40495,
Nuclear Energy Producer H 31,Nuclear,cweNode,31,Energy Producer H,4077.86468,
Nuclear Energy Producer E 32,Nuclear,cweNode,32,Energy Producer E,8085.02804,
Nuclear Energy Producer F 33,Nuclear,cweNode,33,Energy Producer F,5884.80209,
Nuclear Energy Producer G 34,Nuclear,cweNode,34,Energy Producer G,3684.60508,
Nuclear Energy Producer H 35,Nuclear,cweNode,35,Energy Producer H,1343.30286,
Nuclear Energy Producer E 36,Nuclear,cweNode,36,Energy Producer E,4221.82515,
Nuclear Energy Producer F 37,Nuclear,cweNode,37,Energy Producer F,2501.28865,
Nuclear Energy Producer G 38,Nuclear,cweNode,38,Energy Producer G,2699.39016,
Nuclear Energy Producer H 39,Nuclear,cweNode,39,Energy Producer H,499.16354,
Nuclear Energy Producer E 40,Nuclear,cweNode,40,Energy Producer E,556.15917,
OCGT Energy Producer E  1,OCGT,cweNode,1,Energy Producer E,636.66667,
OCGT Energy Producer F  2,OCGT,cweNode,2,Energy Producer F,636.66667,
OCGT Energy Producer G  3,OCGT,cweNode,3,Energy Producer G,664.66667,
OCGT Energy Producer H  4,OCGT,cweNode,4,Energy Producer H,664.66667,
OCGT Energy Producer E  8,OCGT,cweNode,8,Energy Producer E,1294.33508,
OCGT Energy Producer F  9,OCGT,cweNode,9,Energy Producer F,2320.34293,
OCGT Energy Producer G 10,OCGT,cweNode,10,Energy Producer G,163.76276,
OCGT Energy Producer H 11,OCGT,cweNode,11,Energy Producer H,571.90429,
OCGT Energy Producer E 12,OCGT,cweNode,12,Energy Producer E,764.38181,
OCGT Energy Producer F 13,OCGT,cweNode,13,Energy Producer F,776.15641,
OCGT Energy Producer G 14,OCGT,cweNode,14,Energy Producer G,548.94482,
OCGT Energy Producer H 15,OCGT,cweNode,15,Energy Producer H,1131.96044,
OCGT Energy Producer E 16,OCGT,cweNode,16,Energy Producer E,1301.12219,
OCGT Energy Producer F 17,OCGT,cweNode,17,Energy Producer F,1312.89678,
OCGT Energy Producer G 18,OCGT,cweNode,18,Energy Producer G,619.37107,
OCGT Energy Producer H 19,OCGT,cweNode,19,Energy Producer H,642.8096,
OCGT Energy Producer E 20,OCGT,cweNode,20,Energy Producer E,858.59665,
OCGT Energy Producer F 21,OCGT,cweNode,21,Energy Producer F,561.43801,
OCGT Energy Producer G 22,OCGT,cweNode,22,Energy Producer G,258.45054,
OCGT Energy Producer H 23,OCGT,cweNode,23,Energy Producer H,211.94202,
OCGT Energy Producer E 24,OCGT,cweNode,24,Energy Producer E,212.06478,
OCGT Energy Producer F 25,OCGT,cweNode,25,Energy Producer F,194.69476,
OCGT Energy Producer G 26,OCGT,cweNode,26,Energy Producer G,101.54857,
OCGT Energy Producer H 27,OCGT,cweNode,27,Energy Producer H,288.191,
OCGT Energy Producer E 28,OCGT,cweNode,28,Energy Producer E,148.41965,
OCGT Energy Producer F 29,OCGT,cweNode,29,Energy Producer F,626.52061,
OCGT Energy Producer G 30,OCGT,cweNode,30,Energy Producer G,259.40881,
OCGT Energy Producer H 31,OCGT,cweNode,31,Energy Producer H,422.74769,
OCGT Energy Producer E 32,OCGT,cweNode,32,Energy Producer E,294.6464,
OCGT Energy Producer F 33,OCGT,cweNode,33,Energy Producer F,411.33552,
OCGT Energy Producer G 34,OCGT,cweNode,34,Energy Producer G,423.11623,
OCGT Energy Producer H 35,OCGT,cweNode,35,Energy Producer H,376.60771,
OCGT Energy Producer E 36,OCGT,cweNode,36,Energy Producer E,726.4539,
OCGT Energy Producer F 37,OCGT,cweNode,37,Energy Producer F,866.47089,
OCGT Energy Producer G 38,OCGT,cweNode,38,Energy Producer G,1070.60011,
OCGT Energy Producer H 39,OCGT,cweNode,39,Energy Producer H,1251.41968,
OCGT Energy Producer E 40,OCGT,cweNode,40,Energy Producer E,1199.0883,
Photovoltaic Renewable Target Investor CWE  1,Photovoltaic,cweNode,1,Renewable Target Investor CWE,3668.75,
Photovoltaic Renewable Target Investor CWE  2,Photovoltaic,cweNode,2,Renewable Target Investor CWE,3668.75,
Photovoltaic Renewable Target Investor CWE  3,Photovoltaic,cweNode,3,Renewable Target Investor CWE,3668.75,
Photovoltaic Renewable Target Investor CWE  4,Photovoltaic,cweNode,4,Renewable Target Investor CWE,3668.75,
Photovoltaic Renewable Target Investor CWE  6,Photovoltaic,cweNode,6,Renewable Target Investor CWE,2082.05,
Wind Renewable Target Investor CWE  1,Wind,cweNode,1,Renewable Target Investor CWE,3791,
Wind Renewable Target Investor CWE  2,Wind,cweNode,2,Renewable Target Investor CWE,3791,
Wind Renewable Target Investor CWE  3,Wind,cweNode,3,Renewable Target Investor CWE,3791,
Wind Renewable Target Investor CWE  4,Wind,cweNode,4,Renewable Target Investor CWE,3791,
Wind Renewable Target Investor CWE  6,Wind,cweNode,6,Renewable Target Investor CWE,5154.05,
Wind Renewable Target Investor CWE  7,Wind,cweNode,7,Renewable Target Investor CWE,5154.05,
Wind Renewable Target Investor CWE  8,Wind,cweNode,8,Renewable Target Investor CWE,5154.05,
Wind Renewable Target Investor CWE  9,Wind,cweNode,9,Renewable Target Investor CWE,5154.05,
WindOffshore Renewable Target Investor CWE  1,WindOffshore,cweNode,1,Renewable Target Investor CWE,427,
Biogas Renewable Target Investor GB  1,Biogas,gbNode,1,Renewable Target Investor GB,1340,
Biomass Renewable Target Investor GB  6,Biomass,gbNode,6,Renewable Target Investor GB,500.7,
CCGT Energy Producer A  1,CCGT,gbNode,1,Energy Producer A,1158.33333,
CCGT Energy Producer B  2,CCGT,gbNode,2,Energy Producer B,1158.33333,
CCGT Energy Producer C  3,CCGT,gbNode,3,Energy Producer C,690.66667,
CCGT Energy Producer D  4,CCGT,gbNode,4,Energy Producer D,690.66667,
CCGT Energy Producer A  8,CCGT,gbNode,8,Energy Producer A,1399.29849,
CCGT Energy Producer B  9,CCGT,gbNode,9,Energy Producer B,2508.5099,
CCGT Energy Producer C 10,CCGT,gbNode,10,Energy Producer C,177.04301,
CCGT Energy Producer D 11,CCGT,gbNode,11,Energy Producer D,618.28256,
CCGT Energy Producer A 12,CCGT,gbNode,12,Energy Producer A,826.36895,
CCGT Energy Producer B 13,CCGT,gbNode,13,Energy Producer B,839.0984,
CCGT Energy Producer C 14,CCGT,gbNode,14,Energy Producer C,593.46121,
CCGT Energy Producer D 15,CCGT,gbNode,15,Energy Producer D,1223.75617,
CCGT Energy Producer A 16,CCGT,gbNode,16,Energy Producer A,1406.636,
CCGT Energy Producer B 17,CCGT,gbNode,17,Energy Producer B,1419.36545,
CCGT Energy Producer C 18,CCGT,gbNode,18,Energy Producer C,669.59864,
CCGT Energy Producer D 19,CCGT,gbNode,19,Energy Producer D,694.93791,
CCGT Energy Producer A 20,CCGT,gbNode,20,Energy Producer A,928.22408,
CCGT Energy Producer B 21,CCGT,gbNode,21,Energy Producer B,606.96753,
CCGT Energy Producer C 22,CCGT,gbNode,22,Energy Producer C,279.40945,
CCGT Energy Producer D 23,CCGT,gbNode,23,Energy Producer D,229.12935,
CCGT Energy Producer A 24,CCGT,gbNode,24,Energy Producer A,229.26206,
CCGT Energy Producer B 25,CCGT,gbNode,25,Energy Producer B,210.48342,
CCGT Energy Producer C 26,CCGT,gbNode,26,Energy Producer C,109.7836,
CCGT Energy Producer D 27,CCGT,gbNode,27,Energy Producer D,311.56169,
CCGT Energy Producer A 28,CCGT,gbNode,28,Energy Producer A,160.45566,
CCGT Energy Producer B 29,CCGT,gbNode,29,Energy Producer B,677.32796,
CCGT Energy Producer C 30,CCGT,gbNode,30,Energy Producer C,280.44542,
CCGT Energy Producer D 31,CCGT,gbNode,31,Energy Producer D,457.03019,
CCGT Energy Producer A 32,CCGT,gbNode,32,Energy Producer A,318.54059,
CCGT Energy Producer B 33,CCGT,gbNode,33,Energy Producer B,444.69256,
CCGT Energy Producer C 34,CCGT,gbNode,34,Energy Producer C,457.42862,
CCGT Energy Producer D 35,CCGT,gbNode,35,Energy Producer D,407.14852,
CCGT Energy Producer A 36,CCGT,gbNode,36,Energy Producer A,785.36529,
CCGT Energy Producer B 37,CCGT,gbNode,37,Energy Producer B,936.73688,
CCGT Energy Producer C 38,CCGT,gbNode,38,Energy Producer C,1157.41986,
CCGT Energy Producer D 39,CCGT,gbNode,39,Energy Producer D,1352.90289,
CCGT Energy Producer A 40,CCGT,gbNode,40,Energy Producer A,1296.32772,
CoalPSC Energy Producer D 11,CoalPSC,gbNode,11,Energy Producer D,137.01936,
CoalPSC Energy Producer B 13,CoalPSC,gbNode,13,Energy Producer B,137.34012,
CoalPSC Energy Producer C 14,CoalPSC,gbNode,14,Energy Producer C,473.79697,
CoalPSC Energy Producer D 15,CoalPSC,gbNode,15,Energy Producer D,185.72713,
CoalPSC Energy Producer A 16,CoalPSC,gbNode,16,Energy Producer A,450.1054,
CoalPSC Energy Producer B 17,CoalPSC,gbNode,17,Energy Producer B,89.96548,
CoalPSC Energy Producer C 18,CoalPSC,gbNode,18,Energy Producer C,138.15833,
CoalPSC Energy Producer D 19,CoalPSC,gbNode,19,Energy Producer D,498.63602,
CoalPSC Energy Producer A 20,CoalPSC,gbNode,20,Energy Producer A,682.9457,
CoalPSC Energy Producer B 21,CoalPSC,gbNode,21,Energy Producer B,338.83612,
CoalPSC Energy Producer C 22,CoalPSC,gbNode,22,Energy Producer C,186.85759,
CoalPSC Energy Producer D 23,CoalPSC,gbNode,23,Energy Producer D,259.08829,
CoalPSC Energy Producer A 24,CoalPSC,gbNode,24,Energy Producer A,475.43362,
CoalPSC Energy Producer B 25,CoalPSC,gbNode,25,Energy Producer B,211.37611,
CoalPSC Energy Producer C 26,CoalPSC,gbNode,26,Energy Producer C,515.80557,
CoalPSC Energy Producer D 27,CoalPSC,gbNode,27,Energy Producer D,571.99694,
CoalPSC Energy Producer A 28,CoalPSC,gbNode,28,Energy Producer A,1532.9975,
CoalPSC Energy Producer B 29,CoalPSC,gbNode,29,Energy Producer B,1509.13728,
CoalPSC Energy Producer C 30,CoalPSC,gbNode,30,Energy Producer C,692.59763,
CoalPSC Energy Producer D 31,CoalPSC,gbNode,31,Energy Producer D,612.68942,
CoalPSC Energy Producer A 32,CoalPSC,gbNode,32,Energy Producer A,596.85276,
CoalPSC Energy Producer B 33,CoalPSC,gbNode,33,Energy Producer B,869.23806,
CoalPSC Energy Producer C 34,CoalPSC,gbNode,34,Energy Producer C,1221.70872,
CoalPSC Energy Producer D 35,CoalPSC,gbNode,35,Energy Producer D,477.23089,
CoalPSC Energy Producer A 36,CoalPSC,gbNode,36,Energy Producer A,573.47344,
CoalPSC Energy Producer B 37,CoalPSC,gbNode,37,Energy Producer B,893.90821,
