hour,nl_node_0,nl_node_1,nl_node_2,nl_node_3,nl_node_4,nl_node_5,nl_node_6,nl_node_7,nl_node_8,nl_node_9,nl_node_10,nl_node_11,nl_node_12,nl_node_13,nl_node_14,nl_node_15,nl_node_16,nl_node_17,nl_node_18
115,0.0098378542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
116,0.0002741979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
117,0.0001835852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
118,9.2972453325979E-005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
119,2.43049814532382E-006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
120,1.62583807973603E-006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
121,8.1173918639941E-007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
122,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
123,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
124,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
125,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
126,0.00220609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
127,0.00441218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
128,0.00661827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
129,0.0423470647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
130,0.0780758594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
131,0.1138046541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
132,0.1298534929,0.1,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
133,0.1459023317,0.1,0.1,0.1,0.0,0.0,0.0,0.0,,,,,,,,,,,
134,0.1619511705,0.1,0.1,0.1,0.1,0.1,0.0,0.0,,,,,,,,,,,
135,0.1259847534,0.1,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
136,0.0900183362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
137,0.054052155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
138,0.036112719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
139,0.018173283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
140,0.000233847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
141,0.0001559766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
142,7.78703289278504E-005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
143,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
144,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
145,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
146,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
147,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
148,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
149,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
150,0.0025418763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
151,0.0050835167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
152,0.007625393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
153,0.0486451225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
154,0.0896646161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
155,0.1306843457,0.1,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
156,0.1454804161,0.1,0.1,0.1,0.0,0.0,0.0,0.0,,,,,,,,,,,
157,0.1602764865,0.1,0.1,0.1,0.1,0.1,0.0,0.0,,,,,,,,,,,
158,0.1750727929,0.1,0.1,0.1,0.1,0.1,0.0,0.0,,,,,,,,,,,
159,0.1357046222,0.1,0.1,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
160,0.0963366875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
161,0.0569687528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
